occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Lagopus mutus helveticus","Lagopus mutus helveticus","11259389","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus muta","Lagopus mutus helveticus",,"11259389","5227692"
,"Lagopus mutus pyrenaicus","Lagopus mutus pyrenaicus Hartert, 1921","8872650","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lagopus","Lagopus muta","Lagopus mutus pyrenaicus","Hartert, 1921","8872650","5227710"
,"Lanius collurio","Lanius collurio Linnaeus, 1758","7745240","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius collurio","Lanius collurio","Linnaeus, 1758","7745240",
,"Lanius minor","Lanius minor Gmelin, 1788","2492854","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius minor","Lanius minor","Gmelin, 1788","2492854",
,"Lanius nubicus","Lanius nubicus Lichtenstein, 1823","2492855","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius nubicus","Lanius nubicus","Lichtenstein, 1823","2492855",
,"Larus audouinii","Larus audouinii Payraudeau, 1826","2481193","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus audouinii","Larus audouinii","Payraudeau, 1826","2481193","7406504"
,"Larus genei","Larus genei Brème, 1839","2481178","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus genei","Larus genei","Brème, 1839","2481178","6065810"
,"Larus melanocephalus","Larus melanocephalus Temminck, 1820","2481194","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Ichthyaetus","Ichthyaetus melanocephalus","Larus melanocephalus","Temminck, 1820","2481194","8151548"
,"Larus minutus","Larus minutus Pallas, 1776","2481143","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydrocoloeus","Hydrocoloeus minutus","Larus minutus","Pallas, 1776","2481143","6065841"
,"Limosa lapponica","Limosa lapponica (Linnaeus, 1758)","2481681","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica","Limosa lapponica","(Linnaeus, 1758) ","2481681",
,"Loxia scotica","Loxia scotica Hartert, 1904","2494177","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia scotica","Loxia scotica","Hartert, 1904","2494177",
,"Lullula arborea","Lullula arborea (Linnaeus, 1758)","2490604","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Lullula","Lullula arborea","Lullula arborea","(Linnaeus, 1758) ","2490604",
,"Luscinia svecica","Luscinia svecica (Linnaeus, 1758)","4408732","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Luscinia","Luscinia svecica","Luscinia svecica","(Linnaeus, 1758) ","4408732",
,"Marmaronetta angustirostris","Marmaronetta angustirostris (Ménétries, 1832)","2498390","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Marmaronetta","Marmaronetta angustirostris","Marmaronetta angustirostris","(Ménétries, 1832) ","2498390",
,"Melanocorypha calandra","Melanocorypha calandra (Linnaeus, 1766)","2490613","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Alaudidae","Melanocorypha","Melanocorypha calandra","Melanocorypha calandra","(Linnaeus, 1766) ","2490613",
,"Mergus albellus (Mergellus albellus)","Mergus albellus albellus","11083071","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Mergus albellus albellus","Cramp & Simmons, 1977-1994","11083071","2498285"
,"Milvus migrans","Milvus migrans (Boddaert, 1783)","5229167","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans","Milvus migrans","(Boddaert, 1783) ","5229167",
,"Milvus milvus","Milvus milvus (Linnaeus, 1758)","5229168","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus milvus","Milvus milvus","(Linnaeus, 1758) ","5229168",
,"Neophron percnopterus","Neophron percnopterus (Linnaeus, 1758)","2480696","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Neophron","Neophron percnopterus","Neophron percnopterus","(Linnaeus, 1758) ","2480696",
,"Numenius tenuirostris","Numenius tenuirostris Vieillot, 1817","2481789","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius tenuirostris","Numenius tenuirostris","Vieillot, 1817","2481789",
,"Nyctea scandiaca","Nyctea scandiaca (Linnaeus, 1758)","2497581","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo scandiacus","Nyctea scandiaca","(Linnaeus, 1758) ","2497581","5959143"
,"Nycticorax nycticorax","Nycticorax nycticorax (Linnaeus, 1758)","2480863","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","Nycticorax nycticorax","Nycticorax nycticorax","(Linnaeus, 1758) ","2480863",
,"Oceanodroma castro","Oceanodroma castro (Harcourt, 1851)","2482001","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma castro","Oceanodroma castro","(Harcourt, 1851) ","2482001",
,"Oceanodroma leucorhoa","Oceanodroma leucorhoa (Vieillot, 1818)","2482012","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","Oceanodroma leucorhoa","Oceanodroma leucorhoa","(Vieillot, 1818) ","2482012",
,"Oenanthe cypriaca","Oenanthe cypriaca (Homeyer, 1884)","5231234","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe cypriaca","Oenanthe cypriaca","(Homeyer, 1884) ","5231234",
,"Oenanthe leucura","Oenanthe leucura (Gmelin, 1789)","5231236","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe leucura","Oenanthe leucura","(Gmelin, 1789) ","5231236",
,"Oenanthe pleschanka","Oenanthe pleschanka (Lepechin, 1770)","5231233","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe","Oenanthe pleschanka","Oenanthe pleschanka","(Lepechin, 1770) ","5231233",
,"Otis tarda","Otis tarda Linnaeus, 1758","2474921","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Otidiformes","Otididae","Otis","Otis tarda","Otis tarda","Linnaeus, 1758","2474921",
,"Oxyura leucocephala","Oxyura leucocephala (Scopoli, 1769)","2498302","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura leucocephala","Oxyura leucocephala","(Scopoli, 1769) ","2498302",
,"Pandion haliaetus","Pandion haliaetus (Linnaeus, 1758)","2480726","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pandion haliaetus","(Linnaeus, 1758) ","2480726",
,"Parus ater cypriotes","Parus ater cypriotes Dresser, 1888","4409007","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater","Parus ater cypriotes","Dresser, 1888","4409007","5844831"
,"Pelagodroma marina","Pelagodroma marina (Latham, 1790)","2481991","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Pelagodroma","Pelagodroma marina","Pelagodroma marina","(Latham, 1790) ","2481991",
,"Pelecanus crispus","Pelecanus crispus Bruch, 1832","2480353","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus crispus","Pelecanus crispus","Bruch, 1832","2480353",
,"Pelecanus onocrotalus","Pelecanus onocrotalus Linnaeus, 1758","2480350","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","Pelecanus onocrotalus","Pelecanus onocrotalus","Linnaeus, 1758","2480350",
,"Perdix perdix hispaniensis","Perdix perdix hispaniensis Reichenow, 1892","2473966","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix hispaniensis","Reichenow, 1892","2473966",
,"Perdix perdix italica","Perdix perdix italica E.Hartert, 1917","2473961","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix italica","E.Hartert, 1917","2473961",
,"Pernis apivorus","Pernis apivorus (Linnaeus, 1758)","2480420","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Pernis","Pernis apivorus","Pernis apivorus","(Linnaeus, 1758) ","2480420",
,"Phalacrocorax aristotelis desmarestii","Phalacrocorax aristotelis desmarestii (Payraudeau, 1826)","4408479","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax aristotelis","Phalacrocorax aristotelis desmarestii","(Payraudeau, 1826) ","4408479",
,"Phalacrocorax pygmeus","Phalacrocorax pygmeus (Pallas, 1773)","2481888","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Microcarbo","Microcarbo pygmeus","Phalacrocorax pygmeus","(Pallas, 1773) ","2481888","6066518"
,"Phalaropus lobatus","Phalaropus lobatus (Linnaeus, 1758)","5739290","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus lobatus","Phalaropus lobatus","(Linnaeus, 1758) ","5739290",
,"Philomachus pugnax","Philomachus pugnax (Linnaeus, 1758)","5229387","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pugnax","Philomachus pugnax","(Linnaeus, 1758) ","5229387","8250742"
,"Phoenicopterus ruber","Phoenicopterus ruber Linnaeus, 1758","9691034","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus ruber","Phoenicopterus ruber","Linnaeus, 1758","9691034",
,"Picoides tridactylus","Picoides tridactylus (Linnaeus, 1758)","2477804","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus","(Linnaeus, 1758) ","2477804",
,"Picus canus","Picus canus J.F.Gmelin, 1788","2478548","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Picus","Picus canus","Picus canus","J.F.Gmelin, 1788","2478548",
,"Platalea leucorodia","Platalea leucorodia Linnaeus, 1758","2480801","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Platalea leucorodia","Linnaeus, 1758","2480801",
,"Plegadis falcinellus","Plegadis falcinellus (Linnaeus, 1766)","2480773","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae","Plegadis","Plegadis falcinellus","Plegadis falcinellus","(Linnaeus, 1766) ","2480773",
,"Pluvialis apricaria","Pluvialis apricaria (Linnaeus, 1758)","2480332","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis apricaria","Pluvialis apricaria","(Linnaeus, 1758) ","2480332",
,"Podiceps auritus","Podiceps auritus (Linnaeus, 1758)","2482059","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","Podiceps auritus","Podiceps auritus","(Linnaeus, 1758) ","2482059",
,"Polysticta stelleri","Polysticta stelleri (Pallas, 1769)","5232431","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Polysticta","Polysticta stelleri","Polysticta stelleri","(Pallas, 1769) ","5232431",
,"Porphyrio porphyrio","Porphyrio porphyrio (Linnaeus, 1758)","2474416","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrio","Porphyrio porphyrio","Porphyrio porphyrio","(Linnaeus, 1758) ","2474416",
,"Porzana parva","Porzana parva (Scopoli, 1769)","2474627","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana parva","Porzana parva","(Scopoli, 1769) ","2474627",
,"Porzana porzana","Porzana porzana (Linnaeus, 1766)","2474621","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana porzana","Porzana porzana","(Linnaeus, 1766) ","2474621",
,"Porzana pusilla","Porzana pusilla (Pallas, 1776)","2474628","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana pusilla","Porzana pusilla","(Pallas, 1776) ","2474628",
,"Pterocles alchata","Pterocles alchata (Linnaeus, 1766)","2480204","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pteroclidiformes","Pteroclididae","Pterocles","Pterocles alchata","Pterocles alchata","(Linnaeus, 1766) ","2480204",
,"Pterocles orientalis","Pterocles orientalis (Linnaeus, 1758)","2480193","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Pteroclidiformes","Pteroclididae","Pterocles","Pterocles orientalis","Pterocles orientalis","(Linnaeus, 1758) ","2480193",
,"Pterodroma feae","Pterodroma feae (Salvadori, 1900)","2481473","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma feae","Pterodroma feae","(Salvadori, 1900) ","2481473",
,"Pterodroma madeira","Pterodroma madeira Mathews, 1934","2481463","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","Pterodroma madeira","Pterodroma madeira","Mathews, 1934","2481463",
,"Puffinus assimilis","Puffinus assimilis Gould, 1838","5739275","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus assimilis","Puffinus assimilis","Gould, 1838","5739275",
,"Puffinus puffinus mauretanicus (Puffinus mauretanicus)","Puffinus puffinus mauretanicus Lowe, 1921","6486580","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus mauretanicus","Puffinus puffinus mauretanicus","Lowe, 1921","6486580","5229360"
,"Puffinus yelkouan","Puffinus yelkouan (Acerbi, 1827)","5229377","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus yelkouan","Puffinus yelkouan","(Acerbi, 1827) ","5229377",
,"Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax (Linnaeus, 1758)","2482552","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Pyrrhocorax","Pyrrhocorax pyrrhocorax","Pyrrhocorax pyrrhocorax","(Linnaeus, 1758) ","2482552",
,"Pyrrhula murina (Pyrrhula pyrrhula murina)","Pyrrhula murina Godman, 1866","4408970","HIGHERRANK","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula murina","Pyrrhula murina","Godman, 1866","4408970",
,"Recurvirostra avosetta","Recurvirostra avosetta Linnaeus, 1758","2480259","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra avosetta","Recurvirostra avosetta","Linnaeus, 1758","2480259",
,"Saxicola dacotiae","Saxicola dacotiae (Meade-Waldo, 1889)","2492522","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Saxicola","Saxicola dacotiae","Saxicola dacotiae","(Meade-Waldo, 1889) ","2492522",
,"Sitta krueperi","Sitta krueperi Pelzeln, 1863","2484880","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta krueperi","Sitta krueperi","Pelzeln, 1863","2484880",
,"Sitta whiteheadi","Sitta whiteheadi Sharpe, 1884","2484886","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta whiteheadi","Sitta whiteheadi","Sharpe, 1884","2484886",
,"Sterna albifrons","Sterna albifrons Pallas, 1764","5229215","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sterna albifrons","Pallas, 1764","5229215","7192406"
,"Sterna caspia","Sterna caspia Pallas, 1770","5229221","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","Sterna caspia","Pallas, 1770","5229221","2481236"
,"Sterna dougallii","Sterna dougallii Montagu, 1813","5229249","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii","Sterna dougallii","Montagu, 1813","5229249",
,"Sterna hirundo","Sterna hirundo Linnaeus, 1758","9367409","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo","Sterna hirundo","Linnaeus, 1758","9367409",
,"Sterna paradisaea","Sterna paradisaea Pontoppidan, 1763","5229230","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea","Sterna paradisaea","Pontoppidan, 1763","5229230",
,"Sterna sandvicensis","Sterna sandvicensis Latham, 1787","5229223","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Sterna sandvicensis","Latham, 1787","5229223","2481240"
,"Strix nebulosa","Strix nebulosa J.R.Forster, 1772","2497522","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix nebulosa","Strix nebulosa","J.R.Forster, 1772","2497522",
,"Strix uralensis","Strix uralensis Pallas, 1771","2497509","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix uralensis","Strix uralensis","Pallas, 1771","2497509",
,"Surnia ulula","Surnia ulula (Linnaeus, 1758)","2497894","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Surnia","Surnia ulula","Surnia ulula","(Linnaeus, 1758) ","2497894",
,"Sylvia melanothorax","Sylvia melanothorax Tristram, 1872","2492953","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia melanothorax","Sylvia melanothorax","Tristram, 1872","2492953",
,"Sylvia nisoria","Sylvia nisoria (Bechstein, 1792)","2492955","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia nisoria","Sylvia nisoria","(Bechstein, 1792) ","2492955",
